Entity,Code,Year,Male,Female,Population,World regions according to OWID,time,time
United Arab Emirates,ARE,2005,2.3,0.32,4664796,Asia,2005,2023
United Arab Emirates,ARE,2010,2.48,0.34,6938372,Asia,2010,2023
United Arab Emirates,ARE,2015,3.04,0.42,8674629,Asia,2015,2023
United Arab Emirates,ARE,2019,3.08,0.41,9377855,Asia,2019,2023
United Kingdom,GBR,2000,19.44,5.61,59057336,Europe,2000,2023
United Kingdom,GBR,2005,19.53,5.68,60596108,Europe,2005,2023
United Kingdom,GBR,2010,17.23,5.01,63006484,Europe,2010,2023
United Kingdom,GBR,2015,16.5,4.8,65382107,Europe,2015,2023
United Kingdom,GBR,2019,16.95,4.94,67110958,Europe,2019,2023
United States,USA,2000,14.33,4.04,281484127,North America,2000,2023
United States,USA,2005,14.68,4.17,295716665,North America,2005,2023
United States,USA,2010,14.74,4.2,311062786,North America,2010,2023
United States,USA,2015,14.92,4.25,326126498,North America,2015,2023
United States,USA,2019,15.03,4.29,337790068,North America,2019,2023
Uruguay,URY,2000,11.12,3.21,3266211,South America,2000,2023
Uruguay,URY,2005,10.24,2.94,3285775,South America,2005,2023
Uruguay,URY,2010,10.1,2.9,3318582,South America,2010,2023
Uruguay,URY,2015,9.63,2.76,3368022,South America,2015,2023
Uruguay,URY,2019,8.71,2.49,3397205,South America,2019,2023
Uzbekistan,UZB,2000,6.14,1.01,24787051,Asia,2000,2023
Uzbekistan,UZB,2005,7.5,1.26,26356977,Asia,2005,2023
Uzbekistan,UZB,2010,3.11,0.5,28385508,Asia,2010,2023
Uzbekistan,UZB,2015,4.43,0.71,30749349,Asia,2015,2023
Uzbekistan,UZB,2019,4.54,0.71,32964702,Asia,2019,2023
Vanuatu,VUT,2000,2.09,0.44,186290,Oceania,2000,2023
Vanuatu,VUT,2005,1.94,0.4,210773,Oceania,2005,2023
Vanuatu,VUT,2010,2.77,0.58,238257,Oceania,2010,2023
Vanuatu,VUT,2015,2.81,0.59,266116,Oceania,2015,2023
Vanuatu,VUT,2019,3.12,0.65,291994,Oceania,2019,2023
Venezuela,VEN,2000,13.1,3.34,24526708,South America,2000,2023
Venezuela,VEN,2005,13.54,3.44,26785797,South America,2005,2023
Venezuela,VEN,2010,12.49,3.15,28813101,South America,2010,2023
Venezuela,VEN,2015,9.81,2.42,30573970,South America,2015,2023
Venezuela,VEN,2019,4.95,1.16,28938095,South America,2019,2023
Vietnam,VNM,2000,5.44,1.29,77154015,Asia,2000,2023
Vietnam,VNM,2005,7.92,1.91,81088309,Asia,2005,2023
Vietnam,VNM,2010,12.04,2.98,87455150,Asia,2010,2023
Vietnam,VNM,2015,14.46,3.59,92823254,Asia,2015,2023
Vietnam,VNM,2019,15.26,3.78,97173778,Asia,2019,2023
Yemen,YEM,2000,0.22,0.03,19624139,Asia,2000,2023
Yemen,YEM,2005,0.13,0.02,22790082,Asia,2005,2023
Yemen,YEM,2010,0.1,0.01,26754384,Asia,2010,2023
Yemen,YEM,2015,0.07,0.01,31159379,Asia,2015,2023
Yemen,YEM,2019,0.05,0.01,35111417,Asia,2019,2023
Zambia,ZMB,2000,5.96,1.43,10017634,Africa,2000,2023
Zambia,ZMB,2005,5.55,1.32,11718820,Africa,2005,2023
Zambia,ZMB,2010,5.47,1.28,13965592,Africa,2010,2023
Zambia,ZMB,2015,6.14,1.44,16399090,Africa,2015,2023
Zambia,ZMB,2019,6.34,1.48,18513841,Africa,2019,2023
Zimbabwe,ZWE,2000,5.36,1.03,11892057,Africa,2000,2023
Zimbabwe,ZWE,2005,4.91,0.93,12483433,Africa,2005,2023
Zimbabwe,ZWE,2010,5.97,1.13,13356552,Africa,2010,2023
Zimbabwe,ZWE,2015,6.74,1.29,14399009,Africa,2015,2023
Zimbabwe,ZWE,2019,6.52,1.25,15271377,Africa,2019,2023
